id	username	ideo
13493302	mmfa	-1
16955991	salon	-1
2836421	msnbc	-1
2467791	washingtonpost	-1
807095	nytimes	-1
5392522	npr	-1
14717197	tpm	-1
39308549	dailycaller	1
1367531	foxnews	1
10774652	theblaze	1
14662354	washtimes	1
19553409	rasmussen_poll	1
19417492	nro	1
