username	ideo	id	followers_count	rank
gordondeal	0.05741399785	21212299	9935	118
jacksonjk	0.02678515831	15724082	8814	119
george_lemieux	0.9096607904	19269183	8788	120
tomlatham	0.5379288301	10102032	8738	121
kschulten	0.2528641526	14624523	8429	122
cantorpress	0.4695818505	209792690	8228	123
producerguy1	0.03034612588	19572264	7606	124
repmaryfallin	0.6164910073	20097342	7286	125
graham_bowley	0.7849518304	137414410	6652	126
johnensign	0.4269862917	15727817	6550	127
xocasgv	0.8532989939	18807424	6282	128
usrepsullivan	0.7473957206	21329888	6036	129
melmartinez	0.4239098329	19083619	5848	130
judybiggert	0.3067999553	21660348	4771	131
zachwamp	0.6368210751	18905115	4717	132
bilbrayca50	0.6496487699	55235265	4612	133
davidweidner	0.04974102802	15020108	4547	134
toddakin	0.5294654617	300560155	4095	135
mjmishak	0.4893162494	105281551	3516	136
rekhashetty	0.06550502392	21023688	2131	137
janicenlloyd	0.3344928825	50460882	1666	138
