id	username	ideo	type
13493302	mmfa	-1	seed
16955991	salon	-1	seed
2836421	msnbc	-1	seed
2467791	washingtonpost	-1	seed
807095	nytimes	-1	seed
5392522	npr	-1	seed
14717197	tpm	-1	seed
39308549	dailycaller	1	seed
1367531	foxnews	1	seed
10774652	theblaze	1	seed
14662354	washtimes	1	seed
19553409	rasmussen_poll	1	seed
19417492	nro	1	seed
123327472	peterbakernyt	-1	leaf
21252618	JakeSherman	-1	leaf
200846651	TiffanyDCross	-1	leaf
130557513	mehdirhasan	-1	leaf
218975278	JRubinBlogger	-1	leaf
24889586	AnandWrites	-1	leaf
2178681566	DavidJollyFL	-1	leaf
55948054	matthewamiller	-1	leaf
50317463	MichaelSteele	-1	leaf
61734492	Fahrenthold	-1	leaf
820354372827758600	brhodes	-1	leaf
548384458	JoyceWhiteVance	-1	leaf
59331128	PhilipRucker	-1	leaf
95463107	SykesCharlie	-1	leaf
929823128259387400	FrankFigliuzzi1	-1	leaf
96675300	mayawiley	-1	leaf
32871086	kylegriffin1	-1	leaf
454071012	JillWineBanks	-1	leaf
1003107003693137900	glennkirschner2	-1	leaf
860123351154556900	DeadlineWH	-1	leaf
15463671	samstein	-1	leaf
860555190	NicolleDWallace	-1	leaf
16378486	AliVelshi	-1	leaf
887418059501305900	TheBeatWithAri	-1	leaf
37590426	HallieJackson	-1	leaf
39000115	KatyTurNBC	-1	leaf
15441965	AriMelber	-1	leaf
1286312880	allinwithchris	-1	leaf
59031230	Eugene_Robinson	-1	leaf
14251225	jheil	-1	leaf
97474887	CapehartJ	-1	leaf
4207961	chrislhayes	-1	leaf
44134773	SteveKornacki	-1	leaf
205864193	thereidout	-1	leaf
182503471	TheLastWord	-1	leaf
89820928	mitchellreports	-1	leaf
11856032	NBCPolitics	-1	leaf
19186003	seungminkim	-1	leaf
38936142	jdawsey1	-1	leaf
20508720	ThePlumLineGS	-1	leaf
15766082	joshrogin	-1	leaf
14345062	postpolitics	-1	leaf
16686144	nytopinion	-1	leaf
19107878	GlennThrush	-1	leaf
93069110	maggieNYT	-1	leaf
463765807	Nate_Cohn	-1	leaf
37291805	FrankBruni	-1	leaf
14434063	nytpolitics	-1	leaf
5741722	nprpolitics	-1	leaf
115710058	NPRinskeep	-1	leaf
21268897	joshtpm	-1	leaf
121574367	LisaMarieBoothe	1	leaf
468646961	TomiLahren	1	leaf
17800215	jasoninthehouse	1	leaf
819334191624101900	jesseprimetime	1	leaf
3195591187	Gutfeldfox	1	leaf
2332354080	SandraSmithFox	1	leaf
208155240	MariaBartiromo	1	leaf
2229044521	LizMacDonaldFOX	1	leaf
56561449	JesseBWatters	1	leaf
186646579	ainsleyearhardt	1	leaf
50769180	IngrahamAngle	1	leaf
112047805	brithume	1	leaf
43919633	kilmeade	1	leaf
21536398	GreggJarrett	1	leaf
29458079	JudgeJeanine	1	leaf
223970563	TeamCavuto	1	leaf
37764422	foxnation	1	leaf
27311044	DanaPerino	1	leaf
58120509	dagenmcdowell	1	leaf
41634520	seanhannity	1	leaf
321954654	kylenabecker	1	leaf
375852740	SaraGonzalesTX	1	leaf
393469195	redsteeze	1	leaf
130684893	AndrewCMcCarthy	1	leaf
22703645	tuckercarlson	1	leaf
91180720	maddowblog	-1	leaf
16129920	maddow	-1	leaf
334053327	thefive	1	leaf
16032925	foxnewspolitics	1	leaf
